,road_name,road_length,highway,crossing,service,traffic_signals,tertiary,residential,motorway_junction,motorway,min_lat,min_lon,max_lat,max_lon,num_events_accidentsAndIncidents
69852,Prince William Parkway,1.27640532683,"{'traffic_signals': 1, 'trunk': 1}",0,0,1,0,0,0,0,38.723664,-77.5128814,38.7368736,-77.496303,0.0
57718,bull run occoquan trail,2.62712458774,{'path': 1},0,0,0,0,0,0,0,38.7245407,-77.3769113,38.7359605,-77.330385,0.0
63956,Telegraph Road,1.49173650567,"{'traffic_signals': 3, 'secondary': 1}",0,0,3,0,0,0,0,38.7247663,-77.1825752,38.7401634,-77.1631459,0.0
46982,Henry G. Shirley Memorial Highway,3.53054080735,"{'motorway': 1, 'motorway_junction': 4}",0,0,0,0,0,4,1,38.724787,-77.2037258,38.772966,-77.1817611,944.0
86961,n/a,1.4556143158,{'cycleway': 1},0,0,0,0,0,0,0,38.7249499,-77.1827872,38.7399817,-77.1638382,0.0
46981,Restricted Lanes,4.28880849067,{'motorway_link': 1},0,0,0,0,0,0,0,38.7250219,-77.2037452,38.7840263,-77.1788513,944.0
37228,Lake Occoquan Drive,1.30470898704,{'residential': 1},0,0,0,0,1,0,0,38.725141,-77.39423,38.741647,-77.382437,0.0
60935,Henry G. Shirley Memorial Highway,2.67381160729,"{'motorway': 1, 'motorway_junction': 3}",0,0,0,0,0,3,1,38.7252582,-77.2037632,38.760658,-77.1836328,944.0
60644,Richmond Highway,1.50374455139,"{'crossing': 2, 'primary': 1, 'traffic_signals': 5}",2,0,5,0,0,0,0,38.7260073,-77.1141918,38.7381268,-77.0909948,8.0
33088,Southrun Road,1.30014622659,{'residential': 1},0,0,0,0,1,0,0,38.726858,-77.2467344,38.736082,-77.22569,0.0
35424,n/a,0.956417079586,{'service': 1},0,1,0,0,0,0,0,38.726937,-77.609657,38.73667,-77.597022,0.0
30715,John J Kingman Road,1.25241390541,{'track': 1},0,0,0,0,0,0,0,38.727069,-77.148647,38.739814,-77.132101,0.0
31521,Frye Road,1.12929601968,"{'traffic_signals': 1, 'tertiary': 1}",0,0,1,1,0,0,0,38.7271016,-77.116733,38.743028,-77.1119595,0.0
30949,Plantation Drive,0.771709820573,{'residential': 1},0,0,0,0,1,0,0,38.7275239,-77.132028,38.736801,-77.124037,0.0
26184,Terminal Road,0.80006324218,"{'turning_circle': 2, 'residential': 1, 'traffic_signals': 2}",0,0,2,0,1,0,0,38.7275746,-77.1959496,38.7370966,-77.1874848,92.0
30828,Wolf Run Shoals Road,1.14868369088,{'residential': 1},0,0,0,0,1,0,0,38.7276947,-77.3586877,38.7409699,-77.345833,1.0
37278,Greenwich Wood Drive,0.61358286078,{'residential': 1},0,0,0,0,1,0,0,38.729869,-77.631336,38.738691,-77.629964,0.0
55331,Fairfax County Parkway,0.562893203212,"{'traffic_signals': 3, 'trunk': 1}",0,0,3,0,0,0,0,38.7299091,-77.1899094,38.7380413,-77.1891718,4.0
37297,Residency Road,0.635327192561,"{'traffic_signals': 2, 'tertiary': 1}",0,0,2,1,0,0,0,38.72998,-77.527664,38.739105,-77.526145,0.0
52129,n/a,0.590945958186,{'track': 1},0,0,0,0,0,0,0,38.7300089,-77.5049434,38.7378773,-77.5006261,0.0
46956,Fairfax County Parkway,0.551666485909,"{'traffic_signals': 3, 'trunk': 1}",0,0,3,0,0,0,0,38.7300931,-77.1897242,38.7380626,-77.1889922,4.0
65962,n/a,0.435654649581,{'track': 1},0,0,0,0,0,0,0,38.7302218,-77.1624283,38.7364093,-77.1608441,0.0
34189,Orville Street,0.593983424802,{'residential': 1},0,0,0,0,1,0,0,38.730248,-77.122894,38.738603,-77.120266,0.0
17694,Mccracken Road,0.916963095984,{'unclassified': 1},0,0,0,0,0,0,0,38.730545,-77.154726,38.743405,-77.150475,0.0
32468,Cooper Street,0.592224538456,{'residential': 1},0,0,0,0,1,0,0,38.7305732,-77.121805,38.738877,-77.1190502,0.0
38666,Waterford Drive,0.937678440698,"{'turning_circle': 2, 'residential': 1}",0,0,0,0,1,0,0,38.730683,-77.493875,38.737498,-77.478816,0.0
70151,Greentree Manor Lane,0.376488971214,{'residential': 1},0,0,0,0,1,0,0,38.730751,-77.2782126,38.7358684,-77.2757989,0.0
88816,Northumberland Road,0.59157327597,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.7308742,-77.2152873,38.7386224,-77.210599,0.0
120149,n/a,0.669388711523,{'path': 1},0,0,0,0,0,0,0,38.7313027,-77.1479639,38.7402872,-77.1432938,0.0
102993,Jeff Todd Way,0.665047134324,{'secondary': 1},0,0,0,0,0,0,0,38.731335,-77.1478746,38.7402567,-77.1432205,0.0
37848,Greystone Road,0.499168256084,{'residential': 1},0,0,0,0,1,0,0,38.731371,-77.414866,38.738578,-77.414134,0.0
102986,Jeff Todd Way,0.661577721428,{'secondary': 1},0,0,0,0,0,0,0,38.7313848,-77.1476706,38.7402686,-77.1430681,0.0
21525,Keeler Street,0.59843100915,{'residential': 1},0,0,0,0,1,0,0,38.731389,-77.119711,38.739517,-77.115853,0.0
37191,Chinkapin Drive,0.441591301984,{'residential': 1},0,0,0,0,1,0,0,38.731516,-77.412236,38.737775,-77.41055,0.0
96352,Cloverhill Road,0.722241167589,{'tertiary': 1},0,0,0,1,0,0,0,38.731698,-77.490206,38.7398307,-77.4817722,0.0
35212,n/a,0.427757317567,{'residential': 1},0,0,0,0,1,0,0,38.731718,-77.612487,38.737847,-77.611328,0.0
14082,Williams Wood Road,0.784899950262,{'unclassified': 1},0,0,0,0,0,0,0,38.731873,-77.154726,38.7432337,-77.154207,0.0
39020,7th Regiment Drive,0.384444611842,{'residential': 1},0,0,0,0,1,0,0,38.732177,-77.473045,38.737619,-77.471535,0.0
103391,West Boulevard Drive,0.892761526463,{'residential': 1},0,0,0,0,1,0,0,38.7322814,-77.049564,38.7451755,-77.0483279,0.0
37376,Evans Ford Road,0.97552848865,{'residential': 1},0,0,0,0,1,0,0,38.732294,-77.403865,38.746063,-77.399803,0.0
30661,William and Mary Drive,0.428175840808,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.7324241,-77.0732323,38.736157,-77.066884,0.0
117070,Yates Ford Road,0.956959934512,{'residential': 1},0,0,0,0,1,0,0,38.732489,-77.400892,38.741536,-77.387431,0.0
83193,Linton Hall Road,0.662399935388,"{'traffic_signals': 1, 'secondary': 1}",0,0,1,0,0,0,0,38.7327029,-77.55398,38.7400338,-77.5460464,0.0
37215,Ethel Court,0.225068399102,{'residential': 1},0,0,0,0,1,0,0,38.732731,-77.39108,38.735964,-77.390546,0.0
37548,Bent Tree Lane,0.430585078075,{'residential': 1},0,0,0,0,1,0,0,38.73279,-77.407424,38.7389467,-77.4061509,0.0
83192,Linton Hall Road,1.29364859493,"{'traffic_signals': 3, 'secondary': 1}",0,0,3,0,0,0,0,38.7327962,-77.5603963,38.7477595,-77.5459398,0.0
37687,Piper Lane,0.341777069703,"{'unclassified': 1, 'traffic_signals': 1}",0,0,1,0,0,0,0,38.732798,-77.5329901,38.7375518,-77.531221,0.0
38217,Sudley Manor Drive,0.291435091709,"{'traffic_signals': 1, 'tertiary': 1}",0,0,1,1,0,0,0,38.7328517,-77.5800124,38.73698,-77.578885,0.0
91695,Sudley Manor Drive,0.293489962225,"{'traffic_signals': 1, 'tertiary': 1}",0,0,1,1,0,0,0,38.7328687,-77.580243,38.737026,-77.579107,0.0
32895,Mount Vernon Memorial Highway,0.473997346861,"{'traffic_signals': 2, 'secondary': 1}",0,0,2,0,0,0,0,38.732906,-77.0924293,38.7392148,-77.088959,23.0
33301,Ackley Street,0.237015608381,{'residential': 1},0,0,0,0,1,0,0,38.732987,-77.119705,38.73615,-77.117995,0.0
67379,n/a,0.258109988604,{'track': 1},0,0,0,0,0,0,0,38.7330246,-77.1683923,38.736476,-77.1665512,0.0
37860,Garry Glen Drive,0.316135642494,{'residential': 1},0,0,0,0,1,0,0,38.733031,-77.573166,38.736194,-77.568922,0.0
66412,Henderson Road,0.821919040422,{'tertiary': 1},0,0,0,1,0,0,0,38.7330827,-77.363788,38.7392647,-77.3507463,0.0
31222,Little Hunting Creek Drive,0.277789086165,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.7331664,-77.0891892,38.735986,-77.08551,0.0
127748,n/a,1.1745448745,{'path': 1},0,0,0,0,0,0,0,38.7332971,-77.2523408,38.7416243,-77.2333237,0.0
83245,MIddlebrooks Tr,0.219673223723,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.7333011,-77.5594114,38.7362599,-77.557912,0.0
38626,Abbott Road,0.277967194243,{'residential': 1},0,0,0,0,1,0,0,38.733316,-77.468782,38.73692,-77.466482,0.0
103395,Collingwood Road,0.954822904604,"{'crossing': 1, 'traffic_signals': 1, 'secondary': 1}",1,0,1,0,0,0,0,38.7333598,-77.072559,38.737593,-77.0556816,0.0
39145,Hendley Road,0.387624722854,{'tertiary': 1},0,0,0,1,0,0,0,38.733362,-77.478596,38.7388928,-77.477361,0.0
67428,Higham Road,0.291728989226,{'residential': 1},0,0,0,0,1,0,0,38.7333786,-77.1738971,38.7375215,-77.1728333,0.0
98339,Dumfries Road,0.264508350351,"{'traffic_signals': 1, 'secondary': 1}",0,0,1,0,0,0,0,38.733471,-77.474335,38.737135,-77.472901,0.0
37674,Foster Lane,0.441598294942,{'residential': 1},0,0,0,0,1,0,0,38.733523,-77.65414,38.739188,-77.650334,0.0
37802,High Bluff Tr,0.188476599548,{'residential': 1},0,0,0,0,1,0,0,38.733572,-77.388129,38.736019,-77.386578,0.0
67422,Franklin Drive,0.182838267366,{'residential': 1},0,0,0,0,1,0,0,38.7335861,-77.1777063,38.7362265,-77.1774477,0.0
21724,Shadow Lane,0.374238149118,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.733607,-77.317419,38.736058,-77.3112215,0.0
38578,Flowerree Lane,0.210132190306,{'residential': 1},0,0,0,0,1,0,0,38.733609,-77.47242,38.736453,-77.471031,0.0
88006,n/a,0.475218836294,{'residential': 1},0,0,0,0,1,0,0,38.7336741,-77.425974,38.7375062,-77.4186446,0.0
124858,Oakview Drive,0.25742336723,{'residential': 1},0,0,0,0,1,0,0,38.7337395,-77.4578286,38.735963,-77.453992,0.0
18026,Road B,0.591949134427,{'unclassified': 1},0,0,0,0,0,0,0,38.733768,-77.161334,38.741295,-77.156072,0.0
83750,Arthur Graves Jr Court,0.1531382232,{'residential': 1},0,0,0,0,1,0,0,38.7337681,-77.574261,38.735823,-77.573191,0.0
100842,Fountain Circle,0.215670469356,{'residential': 1},0,0,0,0,1,0,0,38.733801,-77.4764377,38.73656,-77.4745602,0.0
92332,Saouth Grant Avenue,0.579636765538,{'tertiary': 1},0,0,0,1,0,0,0,38.733831,-77.4705968,38.7407129,-77.464433,0.0
103392,George Washington Memorial Parkway,0.374891760207,{'trunk': 1},0,0,0,0,0,0,0,38.7338334,-77.048917,38.739248,-77.048399,0.0
26782,Stacey Road,0.22584535973,"{'turning_circle': 2, 'residential': 1}",0,0,0,0,1,0,0,38.733845,-77.063518,38.736904,-77.062033,0.0
38156,Willow Pond Court,0.527347241946,{'residential': 1},0,0,0,0,1,0,0,38.733892,-77.443697,38.73726,-77.434909,0.0
66546,Wolf Valley Drive,0.465501103255,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.7339315,-77.3702619,38.7398469,-77.3661152,0.0
33218,Dominion Valley Drive,0.569400923449,{'residential': 1},0,0,0,0,1,0,0,38.733956,-77.312769,38.73757,-77.303266,0.0
88194,n/a,0.175781999693,{'service': 1},0,1,0,0,0,0,0,38.7340515,-77.1980361,38.7358864,-77.1957736,0.0
31008,Martha Street,0.204821178393,{'residential': 1},0,0,0,0,1,0,0,38.734061,-77.100668,38.736529,-77.098558,0.0
37896,Ellis Road,0.476019799038,{'residential': 1},0,0,0,0,1,0,0,38.734091,-77.427775,38.740681,-77.425178,0.0
28291,Lakepark Drive,0.383713435725,{'residential': 1},0,0,0,0,1,0,0,38.7341178,-77.107104,38.739332,-77.104639,0.0
39084,Trinity Lane,0.211281364946,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.734124,-77.486621,38.736376,-77.483965,0.0
35932,n/a,0.212140824683,{'road': 1},0,0,0,0,0,0,0,38.7341652,-77.5480377,38.736517,-77.545503,0.0
36328,n/a,0.193133691912,{'footway': 1},0,0,0,0,0,0,0,38.734221,-77.53768,38.736504,-77.535608,0.0
35574,n/a,0.225531310117,{'residential': 1},0,0,0,0,1,0,0,38.734266,-77.446255,38.73696,-77.443887,0.0
22188,Chancery Court,0.208811890926,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.734354,-77.076202,38.73637,-77.073312,0.0
36370,n/a,0.12932137611,{'residential': 1},0,0,0,0,1,0,0,38.734366,-77.639766,38.736209,-77.639338,0.0
25716,Tis Well Drive,0.272357295582,{'residential': 1},0,0,0,0,1,0,0,38.7344245,-77.080234,38.737897,-77.077835,0.0
66370,Crestridge Road,0.132287615243,{'residential': 1},0,0,0,0,1,0,0,38.7344521,-77.3394429,38.7358691,-77.3377897,0.0
27915,Doctor Craik Court,0.115488968345,{'residential': 1},0,0,0,0,1,0,0,38.7344559,-77.0781173,38.7359603,-77.07718,0.0
83247,Umbrella Place,0.107644647813,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.7344606,-77.5528982,38.735967,-77.5523832,0.0
31975,Old Barrington Boulevard,0.180000850473,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.73447,-77.275009,38.73685,-77.273645,0.0
91696,Three Sisters Court,0.178476248062,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.734515,-77.5866026,38.7370635,-77.5860483,0.0
86732,Fairfax County Parkway Trail,0.245808667604,{'cycleway': 1},0,0,0,0,0,0,0,38.7345363,-77.1895765,38.7380882,-77.1892667,31.0
38711,Poe Drive,0.221345378502,{'residential': 1},0,0,0,0,1,0,0,38.734545,-77.470557,38.736339,-77.467151,0.0
36167,n/a,0.232184486212,{'residential': 1},0,0,0,0,1,0,0,38.734565,-77.616163,38.737908,-77.615696,0.0
32758,Cinder Bed Road,0.925423781878,{'unclassified': 1},0,0,0,0,0,0,0,38.7345677,-77.1840377,38.747391,-77.179038,0.0
36687,n/a,0.102111211958,{'residential': 1},0,0,0,0,1,0,0,38.73457,-77.398265,38.736029,-77.397955,0.0
30217,Candlewood Drive,0.255951716473,{'residential': 1},0,0,0,0,1,0,0,38.734594,-77.074596,38.737188,-77.071201,0.0
91694,n/a,0.372322418118,{'service': 1},0,1,0,0,0,0,0,38.734618,-77.591727,38.739517,-77.588838,0.0
38828,Godwin Drive,0.182470789892,{'tertiary': 1},0,0,0,1,0,0,0,38.734636,-77.499838,38.737253,-77.499366,0.0
96454,n/a,0.2438160057,{'service': 1},0,1,0,0,0,0,0,38.734658,-77.158486,38.7360082,-77.154303,0.0
91692,Peel Ring Place,0.178984900767,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.7346866,-77.5880027,38.737238,-77.5874148,0.0
96347,Whitworth Lane,0.0927332022245,{'residential': 1},0,0,0,0,1,0,0,38.7346895,-77.4770064,38.7359156,-77.4763036,0.0
25876,Haddington Court,0.188697862583,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.73469,-77.272984,38.73655,-77.270417,0.0
37819,Braemar Parkway,0.880239399894,"{'residential': 1, 'traffic_signals': 2}",0,0,2,0,1,0,0,38.734694,-77.5687279,38.7430827,-77.5564203,0.0
66486,September Lane,0.12788795111,{'residential': 1},0,0,0,0,1,0,0,38.7347506,-77.3377897,38.7358691,-77.335897,0.0
37487,Fox Hound Drive,0.242414105786,{'residential': 1},0,0,0,0,1,0,0,38.734783,-77.627295,38.73824,-77.626509,0.0
37818,Braemar Parkway,0.874227554657,"{'residential': 1, 'traffic_signals': 2}",0,0,2,0,1,0,0,38.734804,-77.5686955,38.743216,-77.556563,0.0
126327,n/a,0.405716751572,"{'traffic_signals': 1, 'motorway_link': 1}",0,0,1,0,0,0,0,38.7348279,-77.1940375,38.740501,-77.1920745,692.0
20886,Cedar Landing Court,0.111794725959,{'residential': 1},0,0,0,0,1,0,0,38.7348378,-77.0799528,38.735952,-77.0784467,0.0
69498,n/a,0.156428461613,{'service': 1},0,1,0,0,0,0,0,38.7348423,-77.1893916,38.7368746,-77.1881079,0.0
69497,n/a,0.141953564756,{'service': 1},0,1,0,0,0,0,0,38.7348468,-77.1882851,38.7368619,-77.1877623,0.0
104136,Cross County Trail,0.141486128124,{'cycleway': 1},0,0,0,0,0,0,0,38.7348496,-77.2238387,38.7362832,-77.2219616,0.0
116228,Gateway Boulevard,0.0729960424169,{'tertiary': 1},0,0,0,1,0,0,0,38.7348571,-77.5193681,38.735871,-77.5189841,0.0
116224,n/a,0.708662737,{'tertiary': 1},0,0,0,1,0,0,0,38.7348571,-77.5195308,38.7416774,-77.5096977,0.0
36690,n/a,0.145425830006,{'residential': 1},0,0,0,0,1,0,0,38.734862,-77.442265,38.736677,-77.440895,0.0
37245,Burghead Drive,0.182927760684,{'residential': 1},0,0,0,0,1,0,0,38.734901,-77.565537,38.737166,-77.563775,0.0
95878,n/a,0.104766409107,{'service': 1},0,1,0,0,0,0,0,38.7349118,-77.5449352,38.7361964,-77.5438999,0.0
23852,Spring Creek Court,0.0652050194596,{'residential': 1},0,0,0,0,1,0,0,38.7349195,-77.2433195,38.7358635,-77.2432851,0.0
104135,CCT Connector,0.162491643792,{'cycleway': 1},0,0,0,0,0,0,0,38.7349258,-77.2219616,38.7366172,-77.2198638,0.0
33943,Glenhurst Drive,0.107250995407,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.734926,-77.269468,38.736465,-77.269198,0.0
115899,Nokesville Road,0.388730846736,{'primary': 1},0,0,0,0,0,0,0,38.7349379,-77.5418281,38.7369376,-77.535081,0.0
11048,n/a,0.325202959007,{'residential': 1},0,0,0,0,1,0,0,38.734941,-77.028932,38.736359,-77.023174,0.0
96455,n/a,0.0848460876517,{'service': 1},0,1,0,0,0,0,0,38.7349453,-77.154797,38.7361609,-77.1545663,0.0
66403,Henderson Court,0.161227190944,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.7349705,-77.3597062,38.7361541,-77.3571257,0.0
100838,n/a,0.146785347898,{'service': 1},0,1,0,0,0,0,0,38.7350204,-77.4795184,38.7365205,-77.4775872,0.0
36856,n/a,0.0586679691742,{'service': 1},0,1,0,0,0,0,0,38.735043,-77.431119,38.735887,-77.430993,0.0
36472,n/a,0.0971114894571,{'service': 1},0,1,0,0,0,0,0,38.735046,-77.430981,38.736431,-77.430667,0.0
98342,n/a,0.104865820431,{'service': 1},0,1,0,0,0,0,0,38.7350647,-77.4963062,38.7363334,-77.4952358,0.0
29276,Newington Road,0.259469170115,{'unclassified': 1},0,0,0,0,0,0,0,38.73507,-77.1852543,38.7386739,-77.183889,0.0
32877,Rushing Creek Court,0.105891762907,{'residential': 1},0,0,0,0,1,0,0,38.735104,-77.2283124,38.7366183,-77.228001,0.0
92329,Hastings Drive,0.203233337212,{'tertiary': 1},0,0,0,1,0,0,0,38.73513,-77.461082,38.737574,-77.458979,0.0
92376,Lake Jackson Drive,0.251728928924,{'residential': 1},0,0,0,0,1,0,0,38.735133,-77.4558012,38.738231,-77.453337,0.0
88807,Kings Point Court,0.0799267513025,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.7351338,-77.2201607,38.7358794,-77.2190255,0.0
92379,Hastings Drive,0.213308356983,{'tertiary': 1},0,0,0,1,0,0,0,38.735148,-77.461227,38.737691,-77.458978,0.0
39120,Cheswick Court,0.092390037094,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.735164,-77.483284,38.736213,-77.482219,0.0
83246,Aqua View Court,0.0699516229745,"{'turning_circle': 1, 'service': 1}",0,1,0,0,0,0,0,38.7351759,-77.55738,38.73618,-77.557207,0.0
35796,n/a,0.186540381627,{'residential': 1},0,0,0,0,1,0,0,38.735178,-77.384675,38.737228,-77.382419,0.0
36652,n/a,0.0612894941292,{'service': 1},0,1,0,0,0,0,0,38.735189,-77.594902,38.736039,-77.594574,0.0
70152,Silverbrook Road,0.279290436195,"{'crossing': 1, 'traffic_signals': 2, 'tertiary': 1}",1,0,2,1,0,0,0,38.7352006,-77.2799399,38.7360134,-77.27486,0.0
37466,Tummel Falls Drive,0.336055014373,"{'residential': 1, 'stop': 1}",0,0,0,0,1,0,0,38.73521,-77.561556,38.739513,-77.55864,0.0
35798,n/a,0.474424029336,{'residential': 1},0,0,0,0,1,0,0,38.735242,-77.4271137,38.7378648,-77.4189718,0.0
88005,n/a,0.168602039641,{'residential': 1},0,0,0,0,1,0,0,38.735242,-77.4239345,38.7366698,-77.4213949,0.0
38318,n/a,0.10325509854,"{'traffic_signals': 1, 'service': 1}",0,1,1,0,0,0,0,38.735264,-77.498652,38.736547,-77.497667,0.0
28215,Oakbrooke Avenue,0.157674198673,{'residential': 1},0,0,0,0,1,0,0,38.7352651,-77.05764,38.736241,-77.0549932,0.0
73200,Ox Road Sidepath,2.49319709699,"{'crossing': 3, 'cycleway': 1}",3,0,0,0,0,0,0,38.7352684,-77.3099804,38.7624712,-77.2795317,2.0
38057,Wheat Mill Loop,0.115327049991,{'service': 1},0,1,0,0,0,0,0,38.735275,-77.560954,38.736681,-77.559798,0.0
37859,Iona Sound Drive,0.509486009848,{'residential': 1},0,0,0,0,1,0,0,38.7352792,-77.568923,38.739567,-77.561224,0.0
38149,Hadrians Court,0.0627543202786,{'residential': 1},0,0,0,0,1,0,0,38.735294,-77.566282,38.73602,-77.565581,0.0
70153,Silverbrook Road,0.282449927309,"{'crossing': 1, 'traffic_signals': 2, 'tertiary': 1}",1,0,2,1,0,0,0,38.7353022,-77.2799939,38.7361373,-77.27486,0.0
41975,Ox Rd,0.640973587229,"{'traffic_signals': 2, 'trunk': 1}",0,0,2,0,0,0,0,38.7353022,-77.28747,38.7425255,-77.2799939,2.0
36945,Dragoon Guards Court,0.113648163688,{'residential': 1},0,0,0,0,1,0,0,38.735303,-77.564425,38.736538,-77.56303,0.0
35881,n/a,0.0859110253991,{'service': 1},0,1,0,0,0,0,0,38.735316,-77.405378,38.736195,-77.404249,0.0
35465,n/a,0.0770116218188,{'service': 1},0,1,0,0,0,0,0,38.735327,-77.618165,38.73642,-77.61788,0.0
126326,Abington Way,0.0545331326419,{'residential': 1},0,0,0,0,1,0,0,38.7353344,-77.4762456,38.7360895,-77.4759487,0.0
35808,n/a,0.048807960032,{'service': 1},0,1,0,0,0,0,0,38.735347,-77.397759,38.736023,-77.397494,0.0
102969,Shannons Green Way,0.041775638636,{'residential': 1},0,0,0,0,1,0,0,38.7353535,-77.0952031,38.735948,-77.0950589,0.0
61494,Winstead Manor Lane,0.369756049816,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.7353566,-77.1736983,38.7394926,-77.1693371,0.0
35214,n/a,0.0330073878543,{'residential': 1},0,0,0,0,1,0,0,38.735357,-77.559933,38.735813,-77.559749,0.0
91685,Daldownie Court,0.108015963909,"{'turning_circle': 1, 'residential': 1}",0,0,0,0,1,0,0,38.735377,-77.5890059,38.7365328,-77.5876543,0.0
62758,Ox Road,0.645256290276,"{'traffic_signals': 2, 'trunk': 1}",0,0,2,0,0,0,0,38.7353809,-77.2872569,38.7426672,-77.2797543,2.0
35351,n/a,0.0392744269809,{'service': 1},0,1,0,0,0,0,0,38.735385,-77.39248,38.73585,-77.39206,0.0
33348,Winter Blue Court,0.170983238268,{'residential': 1},0,0,0,0,1,0,0,38.735385,-77.237165,38.737712,-77.236079,0.0
37018,Pale Rose Loop,0.0928267466608,{'residential': 1},0,0,0,0,1,0,0,38.735386,-77.5686805,38.7365009,-77.5677173,0.0
35268,n/a,0.103376045008,{'service': 1},0,1,0,0,0,0,0,38.735395,-77.621838,38.736796,-77.621161,0.0
61492,Telegraph Road,0.47263131469,"{'traffic_signals': 2, 'secondary': 1}",0,0,2,0,0,0,0,38.7354084,-77.1694523,38.7402917,-77.1633025,0.0
127672,n/a,0.0609441550812,{'footway': 1},0,0,0,0,0,0,0,38.7354177,-77.5729654,38.7360658,-77.5721972,0.0
25320,Treebrooke Lane,0.0945658697888,"{'turning_circle': 2, 'residential': 1}",0,0,0,0,1,0,0,38.735423,-77.058178,38.736185,-77.056719,0.0
36475,n/a,0.0582052970632,{'service': 1},0,1,0,0,0,0,0,38.735428,-77.397436,38.736126,-77.39683,0.0
30819,Cottage Rose Court,0.234150257183,"{'mini_roundabout': 1, 'residential': 1}",0,0,0,0,1,0,0,38.7354576,-77.2980957,38.7374943,-77.2946195,0.0
